Emoji,Unicode,Description
👷🏽,U+1F477 U+1F3FD,:construction_worker_medium_skin_tone:
👷🏽‍♂️,U+1F477 U+1F3FD U+200D U+2642 U+FE0F,:man_construction_worker_medium_skin_tone:
💂🏽‍♀️,U+1F482 U+1F3FD U+200D U+2640 U+FE0F,:woman_guard_medium_skin_tone:
💂🏽,U+1F482 U+1F3FD,:guard_medium_skin_tone:
💂🏽‍♂️,U+1F482 U+1F3FD U+200D U+2642 U+FE0F,:man_guard_medium_skin_tone:
🕵🏽‍♀️,U+1F575 U+1F3FD U+200D U+2640 U+FE0F,:woman_detective_medium_skin_tone:
🕵🏽,U+1F575 U+1F3FD,:detective_medium_skin_tone:
🕵🏽‍♂️,U+1F575 U+1F3FD U+200D U+2642 U+FE0F,:man_detective_medium_skin_tone:
👩🏽‍⚕️,U+1F469 U+1F3FD U+200D U+2695 U+FE0F,:woman_health_worker_medium_skin_tone:
🧑🏽‍⚕️,U+1F9D1 U+1F3FD U+200D U+2695 U+FE0F,:health_worker_medium_skin_tone:
👨🏽‍⚕️,U+1F468 U+1F3FD U+200D U+2695 U+FE0F,:man_health_worker_medium_skin_tone:
👩🏽‍🌾,U+1F469 U+1F3FD U+200D U+1F33E,:woman_farmer_medium_skin_tone:
🧑🏽‍🌾,U+1F9D1 U+1F3FD U+200D U+1F33E,:farmer_medium_skin_tone:
👨🏽‍🌾,U+1F468 U+1F3FD U+200D U+1F33E,:man_farmer_medium_skin_tone:
👩🏽‍🍳,U+1F469 U+1F3FD U+200D U+1F373,:woman_cook_medium_skin_tone:
🧑🏽‍🍳,U+1F9D1 U+1F3FD U+200D U+1F373,:cook_medium_skin_tone:
👨🏽‍🍳,U+1F468 U+1F3FD U+200D U+1F373,:man_cook_medium_skin_tone:
👩🏽‍🎓,U+1F469 U+1F3FD U+200D U+1F393,:woman_student_medium_skin_tone:
🧑🏽‍🎓,U+1F9D1 U+1F3FD U+200D U+1F393,:student_medium_skin_tone:
👨🏽‍🎓,U+1F468 U+1F3FD U+200D U+1F393,:man_student_medium_skin_tone:
👩🏽‍🎤,U+1F469 U+1F3FD U+200D U+1F3A4,:woman_singer_medium_skin_tone:
🧑🏽‍🎤,U+1F9D1 U+1F3FD U+200D U+1F3A4,:singer_medium_skin_tone:
👨🏽‍🎤,U+1F468 U+1F3FD U+200D U+1F3A4,:man_singer_medium_skin_tone:
👩🏽‍🏫,U+1F469 U+1F3FD U+200D U+1F3EB,:woman_teacher_medium_skin_tone:
🧑🏽‍🏫,U+1F9D1 U+1F3FD U+200D U+1F3EB,:teacher_medium_skin_tone:
👨🏽‍🏫,U+1F468 U+1F3FD U+200D U+1F3EB,:man_teacher_medium_skin_tone:
👩🏽‍🏭,U+1F469 U+1F3FD U+200D U+1F3ED,:woman_factory_worker_medium_skin_tone:
🧑🏽‍🏭,U+1F9D1 U+1F3FD U+200D U+1F3ED,:factory_worker_medium_skin_tone:
👨🏽‍🏭,U+1F468 U+1F3FD U+200D U+1F3ED,:man_factory_worker_medium_skin_tone:
👩🏽‍💻,U+1F469 U+1F3FD U+200D U+1F4BB,:woman_technologist_medium_skin_tone:
🧑🏽‍💻,U+1F9D1 U+1F3FD U+200D U+1F4BB,:technologist_medium_skin_tone:
👨🏽‍💻,U+1F468 U+1F3FD U+200D U+1F4BB,:man_technologist_medium_skin_tone:
👩🏽‍💼,U+1F469 U+1F3FD U+200D U+1F4BC,:woman_office_worker_medium_skin_tone:
🧑🏽‍💼,U+1F9D1 U+1F3FD U+200D U+1F4BC,:office_worker_medium_skin_tone:
👨🏽‍💼,U+1F468 U+1F3FD U+200D U+1F4BC,:man_office_worker_medium_skin_tone:
👩🏽‍🔧,U+1F469 U+1F3FD U+200D U+1F527,:woman_mechanic_medium_skin_tone:
🧑🏽‍🔧,U+1F9D1 U+1F3FD U+200D U+1F527,:mechanic_medium_skin_tone:
👨🏽‍🔧,U+1F468 U+1F3FD U+200D U+1F527,:man_mechanic_medium_skin_tone:
👩🏽‍🔬,U+1F469 U+1F3FD U+200D U+1F52C,:woman_scientist_medium_skin_tone:
🧑🏽‍🔬,U+1F9D1 U+1F3FD U+200D U+1F52C,:scientist_medium_skin_tone:
👨🏽‍🔬,U+1F468 U+1F3FD U+200D U+1F52C,:man_scientist_medium_skin_tone:
👩🏽‍🎨,U+1F469 U+1F3FD U+200D U+1F3A8,:woman_artist_medium_skin_tone:
🧑🏽‍🎨,U+1F9D1 U+1F3FD U+200D U+1F3A8,:artist_medium_skin_tone:
👨🏽‍🎨,U+1F468 U+1F3FD U+200D U+1F3A8,:man_artist_medium_skin_tone:
👩🏽‍🚒,U+1F469 U+1F3FD U+200D U+1F692,:woman_firefighter_medium_skin_tone:
🧑🏽‍🚒,U+1F9D1 U+1F3FD U+200D U+1F692,:firefighter_medium_skin_tone:
👨🏽‍🚒,U+1F468 U+1F3FD U+200D U+1F692,:man_firefighter_medium_skin_tone:
👩🏽‍✈️,U+1F469 U+1F3FD U+200D U+2708 U+FE0F,:woman_pilot_medium_skin_tone:
🧑🏽‍✈️,U+1F9D1 U+1F3FD U+200D U+2708 U+FE0F,:pilot_medium_skin_tone:
👨🏽‍✈️,U+1F468 U+1F3FD U+200D U+2708 U+FE0F,:man_pilot_medium_skin_tone:
👩🏽‍🚀,U+1F469 U+1F3FD U+200D U+1F680,:woman_astronaut_medium_skin_tone:
🧑🏽‍🚀,U+1F9D1 U+1F3FD U+200D U+1F680,:astronaut_medium_skin_tone:
👨🏽‍🚀,U+1F468 U+1F3FD U+200D U+1F680,:man_astronaut_medium_skin_tone:
👩🏽‍⚖️,U+1F469 U+1F3FD U+200D U+2696 U+FE0F,:woman_judge_medium_skin_tone:
🧑🏽‍⚖️,U+1F9D1 U+1F3FD U+200D U+2696 U+FE0F,:judge_medium_skin_tone:
👨🏽‍⚖️,U+1F468 U+1F3FD U+200D U+2696 U+FE0F,:man_judge_medium_skin_tone:
👰🏽‍♀️,U+1F470 U+1F3FD U+200D U+2640 U+FE0F,:woman_with_veil_medium_skin_tone:
👰🏽,U+1F470 U+1F3FD,:person_with_veil_medium_skin_tone:
👰🏽‍♂️,U+1F470 U+1F3FD U+200D U+2642 U+FE0F,:man_with_veil_medium_skin_tone:
🤵🏽‍♀️,U+1F935 U+1F3FD U+200D U+2640 U+FE0F,:woman_in_tuxedo_medium_skin_tone:
🤵🏽,U+1F935 U+1F3FD,:person_in_tuxedo_medium_skin_tone:
🤵🏽‍♂️,U+1F935 U+1F3FD U+200D U+2642 U+FE0F,:man_in_tuxedo_medium_skin_tone:
👸🏽,U+1F478 U+1F3FD,:princess_medium_skin_tone:
🫅🏽,U+1FAC5 U+1F3FD,:person_with_crown_medium_skin_tone:
🤴🏽,U+1F934 U+1F3FD,:prince_medium_skin_tone:
🥷🏽,U+1F977 U+1F3FD,:ninja_medium_skin_tone:
🦸🏽‍♀️,U+1F9B8 U+1F3FD U+200D U+2640 U+FE0F,:woman_superhero_medium_skin_tone:
🦸🏽,U+1F9B8 U+1F3FD,:superhero_medium_skin_tone:
🦸🏽‍♂️,U+1F9B8 U+1F3FD U+200D U+2642 U+FE0F,:man_superhero_medium_skin_tone:
🦹🏽‍♀️,U+1F9B9 U+1F3FD U+200D U+2640 U+FE0F,:woman_supervillain_medium_skin_tone:
🦹🏽,U+1F9B9 U+1F3FD,:supervillain_medium_skin_tone:
🦹🏽‍♂️,U+1F9B9 U+1F3FD U+200D U+2642 U+FE0F,:man_supervillain_medium_skin_tone:
🤶🏽,U+1F936 U+1F3FD,:Mrs._Claus_medium_skin_tone:
🧑🏽‍🎄,U+1F9D1 U+1F3FD U+200D U+1F384,:mx_claus_medium_skin_tone:
🎅🏽,U+1F385 U+1F3FD,:Santa_Claus_medium_skin_tone:
🧙🏽‍♀️,U+1F9D9 U+1F3FD U+200D U+2640 U+FE0F,:woman_mage_medium_skin_tone:
🧙🏽,U+1F9D9 U+1F3FD,:mage_medium_skin_tone:
🧙🏽‍♂️,U+1F9D9 U+1F3FD U+200D U+2642 U+FE0F,:man_mage_medium_skin_tone:
🧝🏽‍♀️,U+1F9DD U+1F3FD U+200D U+2640 U+FE0F,:woman_elf_medium_skin_tone:
🧝🏽,U+1F9DD U+1F3FD,:elf_medium_skin_tone:
🧝🏽‍♂️,U+1F9DD U+1F3FD U+200D U+2642 U+FE0F,:man_elf_medium_skin_tone:
🧛🏽‍♀️,U+1F9DB U+1F3FD U+200D U+2640 U+FE0F,:woman_vampire_medium_skin_tone:
🧛🏽,U+1F9DB U+1F3FD,:vampire_medium_skin_tone:
🧛🏽‍♂️,U+1F9DB U+1F3FD U+200D U+2642 U+FE0F,:man_vampire_medium_skin_tone:
🧜🏽‍♀️,U+1F9DC U+1F3FD U+200D U+2640 U+FE0F,:mermaid_medium_skin_tone:
🧜🏽,U+1F9DC U+1F3FD,:merperson_medium_skin_tone:
🧜🏽‍♂️,U+1F9DC U+1F3FD U+200D U+2642 U+FE0F,:merman_medium_skin_tone:
🧚🏽‍♀️,U+1F9DA U+1F3FD U+200D U+2640 U+FE0F,:woman_fairy_medium_skin_tone:
🧚🏽,U+1F9DA U+1F3FD,:fairy_medium_skin_tone:
🧚🏽‍♂️,U+1F9DA U+1F3FD U+200D U+2642 U+FE0F,:man_fairy_medium_skin_tone:
👼🏽,U+1F47C U+1F3FD,:baby_angel_medium_skin_tone:
🤰🏽,U+1F930 U+1F3FD,:pregnant_woman_medium_skin_tone:
🫄🏽,U+1FAC4 U+1F3FD,:pregnant_person_medium_skin_tone:
🫃🏽,U+1FAC3 U+1F3FD,:pregnant_man_medium_skin_tone:
🤱🏽,U+1F931 U+1F3FD,:breast-feeding_medium_skin_tone:
👩🏽‍🍼,U+1F469 U+1F3FD U+200D U+1F37C,:woman_feeding_baby_medium_skin_tone:
🧑🏽‍🍼,U+1F9D1 U+1F3FD U+200D U+1F37C,:person_feeding_baby_medium_skin_tone:
👨🏽‍🍼,U+1F468 U+1F3FD U+200D U+1F37C,:man_feeding_baby_medium_skin_tone:
🙇🏽‍♀️,U+1F647 U+1F3FD U+200D U+2640 U+FE0F,:woman_bowing_medium_skin_tone:
🙇🏽,U+1F647 U+1F3FD,:person_bowing_medium_skin_tone:
🙇🏽‍♂️,U+1F647 U+1F3FD U+200D U+2642 U+FE0F,:man_bowing_medium_skin_tone:
💁🏽‍♀️,U+1F481 U+1F3FD U+200D U+2640 U+FE0F,:woman_tipping_hand_medium_skin_tone:
💁🏽,U+1F481 U+1F3FD,:person_tipping_hand_medium_skin_tone:
💁🏽‍♂️,U+1F481 U+1F3FD U+200D U+2642 U+FE0F,:man_tipping_hand_medium_skin_tone:
🙅🏽‍♀️,U+1F645 U+1F3FD U+200D U+2640 U+FE0F,:woman_gesturing_NO_medium_skin_tone:
🙅🏽,U+1F645 U+1F3FD,:person_gesturing_NO_medium_skin_tone:
🙅🏽‍♂️,U+1F645 U+1F3FD U+200D U+2642 U+FE0F,:man_gesturing_NO_medium_skin_tone:
🙆🏽‍♀️,U+1F646 U+1F3FD U+200D U+2640 U+FE0F,:woman_gesturing_OK_medium_skin_tone:
🙆🏽,U+1F646 U+1F3FD,:person_gesturing_OK_medium_skin_tone:
🙆🏽‍♂️,U+1F646 U+1F3FD U+200D U+2642 U+FE0F,:man_gesturing_OK_medium_skin_tone:
🙋🏽‍♀️,U+1F64B U+1F3FD U+200D U+2640 U+FE0F,:woman_raising_hand_medium_skin_tone:
🙋🏽,U+1F64B U+1F3FD,:person_raising_hand_medium_skin_tone:
🙋🏽‍♂️,U+1F64B U+1F3FD U+200D U+2642 U+FE0F,:man_raising_hand_medium_skin_tone:
🧏🏽‍♀️,U+1F9CF U+1F3FD U+200D U+2640 U+FE0F,:deaf_woman_medium_skin_tone:
🧏🏽,U+1F9CF U+1F3FD,:deaf_person_medium_skin_tone:
🧏🏽‍♂️,U+1F9CF U+1F3FD U+200D U+2642 U+FE0F,:deaf_man_medium_skin_tone:
🤦🏽‍♀️,U+1F926 U+1F3FD U+200D U+2640 U+FE0F,:woman_facepalming_medium_skin_tone:
🤦🏽,U+1F926 U+1F3FD,:person_facepalming_medium_skin_tone:
🤦🏽‍♂️,U+1F926 U+1F3FD U+200D U+2642 U+FE0F,:man_facepalming_medium_skin_tone:
🤷🏽‍♀️,U+1F937 U+1F3FD U+200D U+2640 U+FE0F,:woman_shrugging_medium_skin_tone:
🤷🏽,U+1F937 U+1F3FD,:person_shrugging_medium_skin_tone:
🤷🏽‍♂️,U+1F937 U+1F3FD U+200D U+2642 U+FE0F,:man_shrugging_medium_skin_tone:
🙎🏽‍♀️,U+1F64E U+1F3FD U+200D U+2640 U+FE0F,:woman_pouting_medium_skin_tone:
🙎🏽,U+1F64E U+1F3FD,:person_pouting_medium_skin_tone:
🙎🏽‍♂️,U+1F64E U+1F3FD U+200D U+2642 U+FE0F,:man_pouting_medium_skin_tone:
🙍🏽‍♀️,U+1F64D U+1F3FD U+200D U+2640 U+FE0F,:woman_frowning_medium_skin_tone:
🙍🏽,U+1F64D U+1F3FD,:person_frowning_medium_skin_tone:
🙍🏽‍♂️,U+1F64D U+1F3FD U+200D U+2642 U+FE0F,:man_frowning_medium_skin_tone:
💇🏽‍♀️,U+1F487 U+1F3FD U+200D U+2640 U+FE0F,:woman_getting_haircut_medium_skin_tone:
💇🏽,U+1F487 U+1F3FD,:person_getting_haircut_medium_skin_tone:
💇🏽‍♂️,U+1F487 U+1F3FD U+200D U+2642 U+FE0F,:man_getting_haircut_medium_skin_tone:
💆🏽‍♀️,U+1F486 U+1F3FD U+200D U+2640 U+FE0F,:woman_getting_massage_medium_skin_tone:
💆🏽,U+1F486 U+1F3FD,:person_getting_massage_medium_skin_tone:
💆🏽‍♂️,U+1F486 U+1F3FD U+200D U+2642 U+FE0F,:man_getting_massage_medium_skin_tone:
🧖🏽‍♀️,U+1F9D6 U+1F3FD U+200D U+2640 U+FE0F,:woman_in_steamy_room_medium_skin_tone:
🧖🏽,U+1F9D6 U+1F3FD,:person_in_steamy_room_medium_skin_tone:
🧖🏽‍♂️,U+1F9D6 U+1F3FD U+200D U+2642 U+FE0F,:man_in_steamy_room_medium_skin_tone:
💃🏽,U+1F483 U+1F3FD,:woman_dancing_medium_skin_tone:
🕺🏽,U+1F57A U+1F3FD,:man_dancing_medium_skin_tone:
🕴🏽,U+1F574 U+1F3FD,:person_in_suit_levitating_medium_skin_tone:
👩🏽‍🦽,U+1F469 U+1F3FD U+200D U+1F9BD,:woman_in_manual_wheelchair_medium_skin_tone:
🧑🏽‍🦽,U+1F9D1 U+1F3FD U+200D U+1F9BD,:person_in_manual_wheelchair_medium_skin_tone:
👨🏽‍🦽,U+1F468 U+1F3FD U+200D U+1F9BD,:man_in_manual_wheelchair_medium_skin_tone:
👩🏽‍🦼,U+1F469 U+1F3FD U+200D U+1F9BC,:woman_in_motorized_wheelchair_medium_skin_tone:
🧑🏽‍🦼,U+1F9D1 U+1F3FD U+200D U+1F9BC,:person_in_motorized_wheelchair_medium_skin_tone:
👨🏽‍🦼,U+1F468 U+1F3FD U+200D U+1F9BC,:man_in_motorized_wheelchair_medium_skin_tone:
🚶🏽‍♀️,U+1F6B6 U+1F3FD U+200D U+2640 U+FE0F,:woman_walking_medium_skin_tone:
🚶🏽,U+1F6B6 U+1F3FD,:person_walking_medium_skin_tone:
🚶🏽‍♂️,U+1F6B6 U+1F3FD U+200D U+2642 U+FE0F,:man_walking_medium_skin_tone:
👩🏽‍🦯,U+1F469 U+1F3FD U+200D U+1F9AF,:woman_with_white_cane_medium_skin_tone:
🧑🏽‍🦯,U+1F9D1 U+1F3FD U+200D U+1F9AF,:person_with_white_cane_medium_skin_tone:
👨🏽‍🦯,U+1F468 U+1F3FD U+200D U+1F9AF,:man_with_white_cane_medium_skin_tone:
🧎🏽‍♀️,U+1F9CE U+1F3FD U+200D U+2640 U+FE0F,:woman_kneeling_medium_skin_tone:
🧎🏽,U+1F9CE U+1F3FD,:person_kneeling_medium_skin_tone:
🧎🏽‍♂️,U+1F9CE U+1F3FD U+200D U+2642 U+FE0F,:man_kneeling_medium_skin_tone:
🏃🏽‍♀️,U+1F3C3 U+1F3FD U+200D U+2640 U+FE0F,:woman_running_medium_skin_tone:
🏃🏽,U+1F3C3 U+1F3FD,:person_running_medium_skin_tone:
🏃🏽‍♂️,U+1F3C3 U+1F3FD U+200D U+2642 U+FE0F,:man_running_medium_skin_tone:
🧍🏽‍♀️,U+1F9CD U+1F3FD U+200D U+2640 U+FE0F,:woman_standing_medium_skin_tone:
🧍🏽,U+1F9CD U+1F3FD,:person_standing_medium_skin_tone:
🧍🏽‍♂️,U+1F9CD U+1F3FD U+200D U+2642 U+FE0F,:man_standing_medium_skin_tone:
👭🏽,U+1F46D U+1F3FD,:women_holding_hands_medium_skin_tone:
🧑🏽‍🤝‍🧑🏽,U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FD,:people_holding_hands_medium_skin_tone:
👬🏽,U+1F46C U+1F3FD,:men_holding_hands_medium_skin_tone:
👫🏽,U+1F46B U+1F3FD,:woman_and_man_holding_hands_medium_skin_tone:
🧗🏽‍♀️,U+1F9D7 U+1F3FD U+200D U+2640 U+FE0F,:woman_climbing_medium_skin_tone:
🧗🏽,U+1F9D7 U+1F3FD,:person_climbing_medium_skin_tone:
🧗🏽‍♂️,U+1F9D7 U+1F3FD U+200D U+2642 U+FE0F,:man_climbing_medium_skin_tone:
🏇🏽,U+1F3C7 U+1F3FD,:horse_racing_medium_skin_tone:
🏂🏽,U+1F3C2 U+1F3FD,:snowboarder_medium_skin_tone:
🏌🏽‍♀️,U+1F3CC U+1F3FD U+200D U+2640 U+FE0F,:woman_golfing_medium_skin_tone:
🏌🏽,U+1F3CC U+1F3FD,:person_golfing_medium_skin_tone:
🏌🏽‍♂️,U+1F3CC U+1F3FD U+200D U+2642 U+FE0F,:man_golfing_medium_skin_tone:
🏄🏽‍♀️,U+1F3C4 U+1F3FD U+200D U+2640 U+FE0F,:woman_surfing_medium_skin_tone:
🏄🏽,U+1F3C4 U+1F3FD,:person_surfing_medium_skin_tone:
🏄🏽‍♂️,U+1F3C4 U+1F3FD U+200D U+2642 U+FE0F,:man_surfing_medium_skin_tone:
🚣🏽‍♀️,U+1F6A3 U+1F3FD U+200D U+2640 U+FE0F,:woman_rowing_boat_medium_skin_tone:
🚣🏽,U+1F6A3 U+1F3FD,:person_rowing_boat_medium_skin_tone:
🚣🏽‍♂️,U+1F6A3 U+1F3FD U+200D U+2642 U+FE0F,:man_rowing_boat_medium_skin_tone:
🏊🏽‍♀️,U+1F3CA U+1F3FD U+200D U+2640 U+FE0F,:woman_swimming_medium_skin_tone:
🏊🏽,U+1F3CA U+1F3FD,:person_swimming_medium_skin_tone:
🏊🏽‍♂️,U+1F3CA U+1F3FD U+200D U+2642 U+FE0F,:man_swimming_medium_skin_tone:
⛹🏽‍♀️,U+26F9 U+1F3FD U+200D U+2640 U+FE0F,:woman_bouncing_ball_medium_skin_tone:
⛹🏽,U+26F9 U+1F3FD,:person_bouncing_ball_medium_skin_tone:
⛹🏽‍♂️,U+26F9 U+1F3FD U+200D U+2642 U+FE0F,:man_bouncing_ball_medium_skin_tone:
🏋🏽‍♀️,U+1F3CB U+1F3FD U+200D U+2640 U+FE0F,:woman_lifting_weights_medium_skin_tone:
🏋🏽,U+1F3CB U+1F3FD,:person_lifting_weights_medium_skin_tone:
🏋🏽‍♂️,U+1F3CB U+1F3FD U+200D U+2642 U+FE0F,:man_lifting_weights_medium_skin_tone:
🚴🏽‍♀️,U+1F6B4 U+1F3FD U+200D U+2640 U+FE0F,:woman_biking_medium_skin_tone:
🚴🏽,U+1F6B4 U+1F3FD,:person_biking_medium_skin_tone:
🚴🏽‍♂️,U+1F6B4 U+1F3FD U+200D U+2642 U+FE0F,:man_biking_medium_skin_tone:
🚵🏽‍♀️,U+1F6B5 U+1F3FD U+200D U+2640 U+FE0F,:woman_mountain_biking_medium_skin_tone:
🚵🏽,U+1F6B5 U+1F3FD,:person_mountain_biking_medium_skin_tone:
🚵🏽‍♂️,U+1F6B5 U+1F3FD U+200D U+2642 U+FE0F,:man_mountain_biking_medium_skin_tone:
🤸🏽‍♀️,U+1F938 U+1F3FD U+200D U+2640 U+FE0F,:woman_cartwheeling_medium_skin_tone:
🤸🏽,U+1F938 U+1F3FD,:person_cartwheeling_medium_skin_tone:
🤸🏽‍♂️,U+1F938 U+1F3FD U+200D U+2642 U+FE0F,:man_cartwheeling_medium_skin_tone:
🤽🏽‍♀️,U+1F93D U+1F3FD U+200D U+2640 U+FE0F,:woman_playing_water_polo_medium_skin_tone:
🤽🏽,U+1F93D U+1F3FD,:person_playing_water_polo_medium_skin_tone:
🤽🏽‍♂️,U+1F93D U+1F3FD U+200D U+2642 U+FE0F,:man_playing_water_polo_medium_skin_tone:
🤾🏽‍♀️,U+1F93E U+1F3FD U+200D U+2640 U+FE0F,:woman_playing_handball_medium_skin_tone:
🤾🏽,U+1F93E U+1F3FD,:person_playing_handball_medium_skin_tone:
🤾🏽‍♂️,U+1F93E U+1F3FD U+200D U+2642 U+FE0F,:man_playing_handball_medium_skin_tone:
🤹🏽‍♀️,U+1F939 U+1F3FD U+200D U+2640 U+FE0F,:woman_juggling_medium_skin_tone:
🤹🏽,U+1F939 U+1F3FD,:person_juggling_medium_skin_tone:
🤹🏽‍♂️,U+1F939 U+1F3FD U+200D U+2642 U+FE0F,:man_juggling_medium_skin_tone:
🧘🏽‍♀️,U+1F9D8 U+1F3FD U+200D U+2640 U+FE0F,:woman_in_lotus_position_medium_skin_tone:
🧘🏽,U+1F9D8 U+1F3FD,:person_in_lotus_position_medium_skin_tone:
🧘🏽‍♂️,U+1F9D8 U+1F3FD U+200D U+2642 U+FE0F,:man_in_lotus_position_medium_skin_tone:
🛀🏽,U+1F6C0 U+1F3FD,:person_taking_bath_medium_skin_tone:
🛌🏽,U+1F6CC U+1F3FD,:person_in_bed_medium_skin_tone:
👋🏾,U+1F44B U+1F3FE,:waving_hand_medium-dark_skin_tone:
🤚🏾,U+1F91A U+1F3FE,:raised_back_of_hand_medium-dark_skin_tone:
🖐🏾,U+1F590 U+1F3FE,:hand_with_fingers_splayed_medium-dark_skin_tone:
✋🏾,U+270B U+1F3FE,:raised_hand_medium-dark_skin_tone:
🖖🏾,U+1F596 U+1F3FE,:vulcan_salute_medium-dark_skin_tone:
👌🏾,U+1F44C U+1F3FE,:OK_hand_medium-dark_skin_tone:
🤌🏾,U+1F90C U+1F3FE,:pinched_fingers_medium-dark_skin_tone:
🤏🏾,U+1F90F U+1F3FE,:pinching_hand_medium-dark_skin_tone:
✌🏾,U+270C U+1F3FE,:victory_hand_medium-dark_skin_tone:
🤞🏾,U+1F91E U+1F3FE,:crossed_fingers_medium-dark_skin_tone:
🫰🏾,U+1FAF0 U+1F3FE,:hand_with_index_finger_and_thumb_crossed_medium-dark_skin_tone:
🤟🏾,U+1F91F U+1F3FE,:love-you_gesture_medium-dark_skin_tone:
🤘🏾,U+1F918 U+1F3FE,:sign_of_the_horns_medium-dark_skin_tone:
🤙🏾,U+1F919 U+1F3FE,:call_me_hand_medium-dark_skin_tone:
🫵🏾,U+1FAF5 U+1F3FE,:index_pointing_at_the_viewer_medium-dark_skin_tone:
🫱🏾,U+1FAF1 U+1F3FE,:rightwards_hand_medium-dark_skin_tone:
🫲🏾,U+1FAF2 U+1F3FE,:leftwards_hand_medium-dark_skin_tone:
🫸🏾,U+1FAF8 U+1F3FE,:rightwards_pushing_hand_medium-dark_skin_tone:
🫷🏾,U+1FAF7 U+1F3FE,:leftwards_pushing_hand_medium-dark_skin_tone:
🫳🏾,U+1FAF3 U+1F3FE,:palm_down_hand_medium-dark_skin_tone:
🫴🏾,U+1FAF4 U+1F3FE,:palm_up_hand_medium-dark_skin_tone:
👈🏾,U+1F448 U+1F3FE,:backhand_index_pointing_left_medium-dark_skin_tone:
👉🏾,U+1F449 U+1F3FE,:backhand_index_pointing_right_medium-dark_skin_tone:
👆🏾,U+1F446 U+1F3FE,:backhand_index_pointing_up_medium-dark_skin_tone:
🖕🏾,U+1F595 U+1F3FE,:middle_finger_medium-dark_skin_tone:
👇🏾,U+1F447 U+1F3FE,:backhand_index_pointing_down_medium-dark_skin_tone:
☝🏾,U+261D U+1F3FE,:index_pointing_up_medium-dark_skin_tone:
👍🏾,U+1F44D U+1F3FE,:thumbs_up_medium-dark_skin_tone:
👎🏾,U+1F44E U+1F3FE,:thumbs_down_medium-dark_skin_tone:
✊🏾,U+270A U+1F3FE,:raised_fist_medium-dark_skin_tone:
👊🏾,U+1F44A U+1F3FE,:oncoming_fist_medium-dark_skin_tone:
🤛🏾,U+1F91B U+1F3FE,:left-facing_fist_medium-dark_skin_tone:
🤜🏾,U+1F91C U+1F3FE,:right-facing_fist_medium-dark_skin_tone:
👏🏾,U+1F44F U+1F3FE,:clapping_hands_medium-dark_skin_tone:
🫶🏾,U+1FAF6 U+1F3FE,:heart_hands_medium-dark_skin_tone:
🙌🏾,U+1F64C U+1F3FE,:raising_hands_medium-dark_skin_tone:
👐🏾,U+1F450 U+1F3FE,:open_hands_medium-dark_skin_tone:
🤲🏾,U+1F932 U+1F3FE,:palms_up_together_medium-dark_skin_tone:
🙏🏾,U+1F64F U+1F3FE,:folded_hands_medium-dark_skin_tone:
✍🏾,U+270D U+1F3FE,:writing_hand_medium-dark_skin_tone:
💅🏾,U+1F485 U+1F3FE,:nail_polish_medium-dark_skin_tone:
🤳🏾,U+1F933 U+1F3FE,:selfie_medium-dark_skin_tone:
💪🏾,U+1F4AA U+1F3FE,:flexed_biceps_medium-dark_skin_tone:
🦵🏾,U+1F9B5 U+1F3FE,:leg_medium-dark_skin_tone:
🦶🏾,U+1F9B6 U+1F3FE,:foot_medium-dark_skin_tone:
👂🏾,U+1F442 U+1F3FE,:ear_medium-dark_skin_tone:
🦻🏾,U+1F9BB U+1F3FE,:ear_with_hearing_aid_medium-dark_skin_tone:
👃🏾,U+1F443 U+1F3FE,:nose_medium-dark_skin_tone:
👶🏾,U+1F476 U+1F3FE,:baby_medium-dark_skin_tone:
👧🏾,U+1F467 U+1F3FE,:girl_medium-dark_skin_tone:
🧒🏾,U+1F9D2 U+1F3FE,:child_medium-dark_skin_tone:
👦🏾,U+1F466 U+1F3FE,:boy_medium-dark_skin_tone:
👩🏾,U+1F469 U+1F3FE,:woman_medium-dark_skin_tone:
🧑🏾,U+1F9D1 U+1F3FE,:person_medium-dark_skin_tone:
👨🏾,U+1F468 U+1F3FE,:man_medium-dark_skin_tone:
👩🏾‍🦱,U+1F469 U+1F3FE U+200D U+1F9B1,:woman_medium-dark_skin_tone_curly_hair:
🧑🏾‍🦱,U+1F9D1 U+1F3FE U+200D U+1F9B1,:person_medium-dark_skin_tone_curly_hair:
👨🏾‍🦱,U+1F468 U+1F3FE U+200D U+1F9B1,:man_medium-dark_skin_tone_curly_hair:
👩🏾‍🦰,U+1F469 U+1F3FE U+200D U+1F9B0,:woman_medium-dark_skin_tone_red_hair:
🧑🏾‍🦰,U+1F9D1 U+1F3FE U+200D U+1F9B0,:person_medium-dark_skin_tone_red_hair:
👨🏾‍🦰,U+1F468 U+1F3FE U+200D U+1F9B0,:man_medium-dark_skin_tone_red_hair:
👱🏾‍♀️,U+1F471 U+1F3FE U+200D U+2640 U+FE0F,:woman_medium-dark_skin_tone_blond_hair:
👱🏾,U+1F471 U+1F3FE,:person_medium-dark_skin_tone_blond_hair:
👱🏾‍♂️,U+1F471 U+1F3FE U+200D U+2642 U+FE0F,:man_medium-dark_skin_tone_blond_hair:
👩🏾‍🦳,U+1F469 U+1F3FE U+200D U+1F9B3,:woman_medium-dark_skin_tone_white_hair:
