Emoji,Unicode,Description
🚶‍♂️,U+1F6B6 U+200D U+2642 U+FE0F,:man_walking:
👩‍🦯,U+1F469 U+200D U+1F9AF,:woman_with_white_cane:
🧑‍🦯,U+1F9D1 U+200D U+1F9AF,:person_with_white_cane:
👨‍🦯,U+1F468 U+200D U+1F9AF,:man_with_white_cane:
🧎‍♀️,U+1F9CE U+200D U+2640 U+FE0F,:woman_kneeling:
🧎,U+1F9CE,:person_kneeling:
🧎‍♂️,U+1F9CE U+200D U+2642 U+FE0F,:man_kneeling:
🏃‍♀️,U+1F3C3 U+200D U+2640 U+FE0F,:woman_running:
🏃,U+1F3C3,:person_running:
🏃‍♂️,U+1F3C3 U+200D U+2642 U+FE0F,:man_running:
🧍‍♀️,U+1F9CD U+200D U+2640 U+FE0F,:woman_standing:
🧍,U+1F9CD,:person_standing:
🧍‍♂️,U+1F9CD U+200D U+2642 U+FE0F,:man_standing:
👭,U+1F46D,:women_holding_hands:
🧑‍🤝‍🧑,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,:people_holding_hands:
👬,U+1F46C,:men_holding_hands:
👫,U+1F46B,:woman_and_man_holding_hands:
👩‍❤️‍👩,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,:couple_with_heart_woman_woman:
💑,U+1F491,:couple_with_heart:
👨‍❤️‍👨,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,:couple_with_heart_man_man:
👩‍❤️‍👨,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,:couple_with_heart_woman_man:
👩‍❤️‍💋‍👩,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,:kiss_woman_woman:
💏,U+1F48F,:kiss:
👨‍❤️‍💋‍👨,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,:kiss_man_man:
👩‍❤️‍💋‍👨,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,:kiss_woman_man:
👪,U+1F46A,:family:
👨‍👩‍👦,U+1F468 U+200D U+1F469 U+200D U+1F466,:family_man_woman_boy:
👨‍👩‍👧,U+1F468 U+200D U+1F469 U+200D U+1F467,:family_man_woman_girl:
👨‍👩‍👧‍👦,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,:family_man_woman_girl_boy:
👨‍👩‍👦‍👦,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,:family_man_woman_boy_boy:
👨‍👩‍👧‍👧,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,:family_man_woman_girl_girl:
👨‍👨‍👦,U+1F468 U+200D U+1F468 U+200D U+1F466,:family_man_man_boy:
👨‍👨‍👧,U+1F468 U+200D U+1F468 U+200D U+1F467,:family_man_man_girl:
👨‍👨‍👧‍👦,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,:family_man_man_girl_boy:
👨‍👨‍👦‍👦,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,:family_man_man_boy_boy:
👨‍👨‍👧‍👧,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,:family_man_man_girl_girl:
👩‍👩‍👦,U+1F469 U+200D U+1F469 U+200D U+1F466,:family_woman_woman_boy:
👩‍👩‍👧,U+1F469 U+200D U+1F469 U+200D U+1F467,:family_woman_woman_girl:
👩‍👩‍👧‍👦,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,:family_woman_woman_girl_boy:
👩‍👩‍👦‍👦,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,:family_woman_woman_boy_boy:
👩‍👩‍👧‍👧,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,:family_woman_woman_girl_girl:
👨‍👦,U+1F468 U+200D U+1F466,:family_man_boy:
👨‍👦‍👦,U+1F468 U+200D U+1F466 U+200D U+1F466,:family_man_boy_boy:
👨‍👧,U+1F468 U+200D U+1F467,:family_man_girl:
👨‍👧‍👦,U+1F468 U+200D U+1F467 U+200D U+1F466,:family_man_girl_boy:
👨‍👧‍👧,U+1F468 U+200D U+1F467 U+200D U+1F467,:family_man_girl_girl:
👩‍👦,U+1F469 U+200D U+1F466,:family_woman_boy:
👩‍👦‍👦,U+1F469 U+200D U+1F466 U+200D U+1F466,:family_woman_boy_boy:
👩‍👧,U+1F469 U+200D U+1F467,:family_woman_girl:
👩‍👧‍👦,U+1F469 U+200D U+1F467 U+200D U+1F466,:family_woman_girl_boy:
👩‍👧‍👧,U+1F469 U+200D U+1F467 U+200D U+1F467,:family_woman_girl_girl:
🗣,U+1F5E3,:speaking_head:
👤,U+1F464,:bust_in_silhouette:
👥,U+1F465,:busts_in_silhouette:
🫂,U+1FAC2,:people_hugging:
🧳,U+1F9F3,:luggage:
🌂,U+1F302,:closed_umbrella:
☂️,U+2602 U+FE0F,:umbrella:
🧵,U+1F9F5,:thread:
🪡,U+1FAA1,:sewing_needle:
🪢,U+1FAA2,:knot:
🪭,U+1FAAD,:folding_hand_fan:
🧶,U+1F9F6,:yarn:
👓,U+1F453,:glasses:
🕶,U+1F576,:sunglasses:
🥽,U+1F97D,:goggles:
🥼,U+1F97C,:lab_coat:
🦺,U+1F9BA,:safety_vest:
👔,U+1F454,:necktie:
👕,U+1F455,:t-shirt:
👖,U+1F456,:jeans:
🧣,U+1F9E3,:scarf:
🧤,U+1F9E4,:gloves:
🧥,U+1F9E5,:coat:
🧦,U+1F9E6,:socks:
👗,U+1F457,:dress:
👘,U+1F458,:kimono:
🥻,U+1F97B,:sari:
🩴,U+1FA74,:thong_sandal:
🩱,U+1FA71,:one-piece_swimsuit:
🩲,U+1FA72,:briefs:
🩳,U+1FA73,:shorts:
👙,U+1F459,:bikini:
👚,U+1F45A,:woman’s_clothes:
👛,U+1F45B,:purse:
👜,U+1F45C,:handbag:
👝,U+1F45D,:clutch_bag:
🎒,U+1F392,:backpack:
👞,U+1F45E,:man’s_shoe:
👟,U+1F45F,:running_shoe:
🥾,U+1F97E,:hiking_boot:
🥿,U+1F97F,:flat_shoe:
👠,U+1F460,:high-heeled_shoe:
👡,U+1F461,:woman’s_sandal:
🩰,U+1FA70,:ballet_shoes:
👢,U+1F462,:woman’s_boot:
👑,U+1F451,:crown:
👒,U+1F452,:woman’s_hat:
🎩,U+1F3A9,:top_hat:
🎓,U+1F393,:graduation_cap:
🧢,U+1F9E2,:billed_cap:
⛑,U+26D1,:rescue_worker’s_helmet:
🪖,U+1FA96,:military_helmet:
💄,U+1F484,:lipstick:
💍,U+1F48D,:ring:
💼,U+1F4BC,:briefcase:
👋🏻,U+1F44B U+1F3FB,:waving_hand_light_skin_tone:
🤚🏻,U+1F91A U+1F3FB,:raised_back_of_hand_light_skin_tone:
🖐🏻,U+1F590 U+1F3FB,:hand_with_fingers_splayed_light_skin_tone:
✋🏻,U+270B U+1F3FB,:raised_hand_light_skin_tone:
🖖🏻,U+1F596 U+1F3FB,:vulcan_salute_light_skin_tone:
👌🏻,U+1F44C U+1F3FB,:OK_hand_light_skin_tone:
🤌🏻,U+1F90C U+1F3FB,:pinched_fingers_light_skin_tone:
🤏🏻,U+1F90F U+1F3FB,:pinching_hand_light_skin_tone:
✌🏻,U+270C U+1F3FB,:victory_hand_light_skin_tone:
🤞🏻,U+1F91E U+1F3FB,:crossed_fingers_light_skin_tone:
